Maj_PC,Pop,,
M1A,#N/A,,
M2A,#N/A,,
M3A,34615,,
M4A,14443,,
M5A,41078,,
M5A,41078,,
M6A,21048,,
M6A,21048,,
M7A,10,,
M8A,#N/A,,
M9A,35594,,
M1B,66108,,
M1B,66108,,
M2B,#N/A,,
M3B,13324,,
M4B,18628,,
M4B,18628,,
M5B,12785,,
M5B,12785,,
M6B,28522,,
M7B,#N/A,,
M8B,#N/A,,
M9B,32400,,
M9B,32400,,
M9B,32400,,
M9B,32400,,
M9B,32400,,
M1C,35626,,
M1C,35626,,
M1C,35626,,
M2C,#N/A,,
M3C,39153,,
M3C,39153,,
M4C,46866,,
M5C,2951,,
M6C,24596,,
M7C,#N/A,,
M8C,#N/A,,
M9C,38291,,
M9C,38291,,
M9C,38291,,
M9C,38291,,
M1E,46943,,
M1E,46943,,
M1E,46943,,
M2E,#N/A,,
M3E,#N/A,,
M4E,25044,,
M5E,9118,,
M6E,38041,,
M7E,#N/A,,
M8E,#N/A,,
M9E,#N/A,,
M1G,29690,,
M2G,#N/A,,
M3G,#N/A,,
M4G,19076,,
M5G,8423,,
M6G,32086,,
M7G,#N/A,,
M8G,#N/A,,
M9G,#N/A,,
M1H,24383,,
M2H,24497,,
M3H,37011,,
M3H,37011,,
M3H,37011,,
M4H,19688,,
M5H,2005,,
M5H,2005,,
M5H,2005,,
M6H,44950,,
M6H,44950,,
M7H,#N/A,,
M8H,#N/A,,
M9H,#N/A,,
M1J,36699,,
M2J,58293,,
M2J,58293,,
M2J,58293,,
M3J,25473,,
M3J,25473,,
M4J,35738,,
M5J,14545,,
M5J,14545,,
M5J,14545,,
M6J,32684,,
M6J,32684,,
M7J,#N/A,,
M8J,#N/A,,
M9J,#N/A,,
M1K,48434,,
M1K,48434,,
M1K,48434,,
M2K,23852,,
M3K,5997,,
M3K,5997,,
M4K,31583,,
M4K,31583,,
M5K,0,,
M5K,0,,
M6K,40957,,
M6K,40957,,
M6K,40957,,
M7K,#N/A,,
M8K,#N/A,,
M9K,#N/A,,
M1L,35081,,
M1L,35081,,
M1L,35081,,
M2L,11717,,
M2L,11717,,
M3L,17339,,
M4L,32640,,
M4L,32640,,
M5L,0,,
M5L,0,,
M6L,20616,,
M6L,20616,,
M6L,20616,,
M7L,#N/A,,
M8L,#N/A,,
M9L,11950,,
M1M,22913,,
M1M,22913,,
M1M,22913,,
M2M,32320,,
M2M,32320,,
M3M,24046,,
M4M,24689,,
M5M,25975,,
M5M,25975,,
M6M,42434,,
M6M,42434,,
M6M,42434,,
M6M,42434,,
M7M,#N/A,,
M8M,#N/A,,
M9M,22263,,
M9M,22263,,
M1N,22136,,
M1N,22136,,
M2N,75897,,
M3N,41958,,
M4N,15330,,
M5N,16610,,
M6N,41243,,
M6N,41243,,
M7N,#N/A,,
M8N,#N/A,,
M9N,25074,,
M1P,45571,,
M1P,45571,,
M1P,45571,,
M2P,7843,,
M3P,#N/A,,
M4P,20039,,
M5P,19423,,
M5P,19423,,
M6P,40035,,
M6P,40035,,
M7P,#N/A,,
M8P,#N/A,,
M9P,20874,,
M1R,29858,,
M1R,29858,,
M2R,40792,,
M3R,#N/A,,
M4R,11394,,
M5R,26496,,
M5R,26496,,
M5R,26496,,
M6R,19857,,
M6R,19857,,
M7R,#N/A,,
M8R,#N/A,,
M9R,33743,,
M9R,33743,,
M9R,33743,,
M9R,33743,,
M1S,37769,,
M2S,#N/A,,
M3S,#N/A,,
M4S,26506,,
M5S,15372,,
M5S,15372,,
M6S,34299,,
M6S,34299,,
M7S,#N/A,,
M8S,#N/A,,
M9S,#N/A,,
M1T,34588,,
M1T,34588,,
M1T,34588,,
M2T,#N/A,,
M3T,#N/A,,
M4T,10463,,
M4T,10463,,
M5T,17748,,
M5T,17748,,
M5T,17748,,
M6T,#N/A,,
M7T,#N/A,,
M8T,#N/A,,
M9T,#N/A,,
M1V,54680,,
M1V,54680,,
M1V,54680,,
M1V,54680,,
M2V,#N/A,,
M3V,#N/A,,
M4V,18241,,
M4V,18241,,
M4V,18241,,
M4V,18241,,
M4V,18241,,
M5V,49195,,
M5V,49195,,
M5V,49195,,
M5V,49195,,
M5V,49195,,
M5V,49195,,
M5V,49195,,
M6V,#N/A,,
M7V,#N/A,,
M8V,37975,,
M8V,37975,,
M8V,37975,,
M9V,55959,,
M9V,55959,,
M9V,55959,,
M9V,55959,,
M9V,55959,,
M9V,55959,,
M9V,55959,,
M9V,55959,,
M1W,48471,,
M2W,#N/A,,
M3W,#N/A,,
M4W,14561,,
M5W,15,,
M6W,#N/A,,
M7W,#N/A,,
M8W,20674,,
M8W,20674,,
M9W,40684,,
M1X,15097,,
M2X,#N/A,,
M3X,#N/A,,
M4X,20822,,
M4X,20822,,
M5X,10,,
M5X,10,,
M6X,#N/A,,
M7X,#N/A,,
M8X,10787,,
M8X,10787,,
M8X,10787,,
M9X,#N/A,,
M1Y,#N/A,,
M2Y,#N/A,,
M3Y,#N/A,,
M4Y,30472,,
M5Y,#N/A,,
M6Y,#N/A,,
M7Y,10,,
M8Y,21299,,
M8Y,21299,,
M8Y,21299,,
M8Y,21299,,
M8Y,21299,,
M8Y,21299,,
M8Y,21299,,
M8Y,21299,,
M9Y,#N/A,,
M1Z,#N/A,,
M2Z,#N/A,,
M3Z,#N/A,,
M4Z,#N/A,,
M5Z,#N/A,,
M6Z,#N/A,,
M7Z,#N/A,,
M8Z,17038,,
M8Z,17038,,
M8Z,17038,,
M8Z,17038,,
M8Z,17038,,
,,,
